antibody-id,CVE ,lambda 1 ,lambda 2 ,lambda 3
4546M2,0.46,1,4.15,4.85
4546M7,0.425,2.35,6.4,1.25
4E10_AB,0.159,1.925,3.35,4.725
10-1074 ,0.373,1.9,3.25,4.85
10-996 ,0.486,4,5,1
12A12 ,0.321,20,80,0
2F5 ,0.132,2.8,5.95,1.25
3BNC117 ,0.387,5.05,3.25,7.1
3BNC55 ,0.3,5.05,4.6,0.35
45-46m2 ,0.46,1,4.15,4.85
45-46m7 ,0.425,2.35,6.4,1.25
8ANC195 ,0.274,3.25,4.6,2.15
b12 ,0.127,3.7,5.05,1.25
NIH45-46G54W ,0.612,1.45,1.45,7.1
PG16 ,0.485,2.8,5.95,1.25
PGT121 ,0.478,3.25,3.25,3.5
VRC-CH31 ,0.382,30,50,20
VRC-PG04 ,0.382,3,6,1.05
VRC-PG04b ,0.382,50,40,10
VRC01 ,0.227,2.8,4.15,3.05
VRC02 ,0.322,2.35,3.7,3.95
VRC03 ,0.316,30,60,10